Plate number,Side/Column,Patch/Row,Medium,Final Name,Total root length (mm),Image ,Plate position on image
L1,A,1,M,L1_A1_M,130.903,GBSN#3_D23_006,Top
L1,A,2,LN,L1_A2_LN,87.423,GBSN#3_D23_006,Top
L1,A,3,LN,L1_A3_LN,0,GBSN#3_D23_006,Top
L1,B,1,M,L1_B1_M,109.724,GBSN#3_D23_006,Top
L1,B,2,LN,L1_B2_LN,56.887,GBSN#3_D23_006,Top
L1,B,3,LN,L1_B3_LN,0,GBSN#3_D23_006,Top
L2,A,1,M,L2_A1_M,151.003,GBSN#3_D23_006,Bottom
L2,A,2,LN,L2_A2_LN,86.799,GBSN#3_D23_006,Bottom
L2,A,3,LN,L2_A3_LN,0,GBSN#3_D23_006,Bottom
L2,B,1,M,L2_B1_M,113.3,GBSN#3_D23_006,Bottom
L2,B,2,LN,L2_B2_LN,77.7,GBSN#3_D23_006,Bottom
L2,B,3,LN,L2_B3_LN,6.24,GBSN#3_D23_006,Bottom
L3,A,1,M,L3_A1_M,54.401,GBSN#3_D23_007,Top
L3,A,2,LN,L3_A2_LN,15.323,GBSN#3_D23_007,Top
L3,A,3,LN,L3_A3_LN,0,GBSN#3_D23_007,Top
L3,B,1,M,L3_B1_M,76.388,GBSN#3_D23_007,Top
L3,B,2,LN,L3_B2_LN,69.969,GBSN#3_D23_007,Top
L3,B,3,LN,L3_B3_LN,0,GBSN#3_D23_007,Top
L4,A,1,M,L4_A1_M,233.836,GBSN#3_D23_007,Bottom
L4,A,2,LN,L4_A2_LN,79.709,GBSN#3_D23_007,Bottom
L4,A,3,LN,L4_A3_LN,11.486,GBSN#3_D23_007,Bottom
L4,B,1,M,L4_B1_M,167.506,GBSN#3_D23_007,Bottom
L4,B,2,LN,L4_B2_LN,196.136,GBSN#3_D23_007,Bottom
L4,B,3,LN,L4_B3_LN,6.941,GBSN#3_D23_007,Bottom
L5,A,1,M,L5_A1_M,74.119,GBSN#3_D23_008,Top
L5,A,2,LN,L5_A2_LN,78.973,GBSN#3_D23_008,Top
L5,A,3,LN,L5_A3_LN,0,GBSN#3_D23_008,Top
L5,B,1,M,L5_B1_M,142.052,GBSN#3_D23_008,Top
L5,B,2,LN,L5_B2_LN,102.944,GBSN#3_D23_008,Top
L5,B,3,LN,L5_B3_LN,0,GBSN#3_D23_008,Top
L6,A,1,M,L6_A1_M,86.547,GBSN#3_D23_008,Bottom
L6,A,2,LN,L6_A2_LN,64.132,GBSN#3_D23_008,Bottom
L6,A,3,LN,L6_A3_LN,20.256,GBSN#3_D23_008,Bottom
L6,B,1,M,L6_B1_M,196.099,GBSN#3_D23_008,Bottom
L6,B,2,LN,L6_B2_LN,99.647,GBSN#3_D23_008,Bottom
L6,B,3,LN,L6_B3_LN,30.385,GBSN#3_D23_008,Bottom
L7,A,1,M,L7_A1_M,83.68,GBSN#3_D23_009,Top
L7,A,2,LN,L7_A2_LN,32.57,GBSN#3_D23_009,Top
L7,A,3,LN,L7_A3_LN,0,GBSN#3_D23_009,Top
L7,B,1,M,L7_B1_M,70.743,GBSN#3_D23_009,Top
L7,B,2,LN,L7_B2_LN,60.316,GBSN#3_D23_009,Top
L7,B,3,LN,L7_B3_LN,0,GBSN#3_D23_009,Top
L8,A,1,M,L8_A1_M,165.697,GBSN#3_D23_009,Bottom
L8,A,2,LN,L8_A2_LN,115.738,GBSN#3_D23_009,Bottom
L8,A,3,LN,L8_A3_LN,0,GBSN#3_D23_009,Bottom
L8,B,1,M,L8_B1_M,67.585,GBSN#3_D23_009,Bottom
L8,B,2,LN,L8_B2_LN,70.774,GBSN#3_D23_009,Bottom
L8,B,3,LN,L8_B3_LN,0,GBSN#3_D23_009,Bottom
L9,A,1,M,L9_A1_M,233.675,GBSN#3_D23_010,Top
L9,A,2,LN,L9_A2_LN,378.875,GBSN#3_D23_010,Top
L9,A,3,LN,L9_A3_LN,2.48,GBSN#3_D23_010,Top
L9,B,1,M,L9_B1_M,96.957,GBSN#3_D23_010,Top
L9,B,2,LN,L9_B2_LN,75.047,GBSN#3_D23_010,Top
L9,B,3,LN,L9_B3_LN,9.258,GBSN#3_D23_010,Top
L10,A,1,M,L10_A1_M,205.942,GBSN#3_D23_010,Bottom
L10,A,2,LN,L10_A2_LN,111.385,GBSN#3_D23_010,Bottom
L10,A,3,LN,L10_A3_LN,0,GBSN#3_D23_010,Bottom
L10,B,1,M,L10_B1_M,127.29,GBSN#3_D23_010,Bottom
L10,B,2,LN,L10_B2_LN,18.84,GBSN#3_D23_010,Bottom
L10,B,3,LN,L10_B3_LN,0,GBSN#3_D23_010,Bottom
