Plate number,Side/Column,Patch/Row,Medium,Final Name,Total root length (mm),Image ,Plate position on image
M1,A,1,M,M1_A1_M,39.85,GBSN#3_D23_001,Top
M1,A,2,MN,M1_A2_MN,83.546,GBSN#3_D23_001,Top
M1,A,3,MN,M1_A3_MN,10.734,GBSN#3_D23_001,Top
M1,B,1,M,M1_B1_M,140.028,GBSN#3_D23_001,Top
M1,B,2,MN,M1_B2_MN,260.887,GBSN#3_D23_001,Top
M1,B,3,MN,M1_B3_MN,13.575,GBSN#3_D23_001,Top
M2,A,1,M,M2_A1_M,138.095,GBSN#3_D23_001,Bottom
M2,A,2,MN,M2_A2_MN,168.413,GBSN#3_D23_001,Bottom
M2,A,3,MN,M2_A3_MN,29.798,GBSN#3_D23_001,Bottom
M2,B,1,M,M2_B1_M,108.171,GBSN#3_D23_001,Bottom
M2,B,2,MN,M2_B2_MN,434.529,GBSN#3_D23_001,Bottom
M2,B,3,MN,M2_B3_MN,88.855,GBSN#3_D23_001,Bottom
M3,A,1,M,M3_A1_M,67.386,GBSN#3_D23_002,Top
M3,A,2,MN,M3_A2_MN,147.644,GBSN#3_D23_002,Top
M3,A,3,MN,M3_A3_MN,18.96,GBSN#3_D23_002,Top
M3,B,1,M,M3_B1_M,280.275,GBSN#3_D23_002,Top
M3,B,2,MN,M3_B2_MN,279.294,GBSN#3_D23_002,Top
M3,B,3,MN,M3_B3_MN,18.512,GBSN#3_D23_002,Top
M4,A,1,M,M4_A1_M,90.973,GBSN#3_D23_002,Bottom
M4,A,2,MN,M4_A2_M,310.033,GBSN#3_D23_002,Bottom
M4,A,3,MN,M4_A3_M,208.826,GBSN#3_D23_002,Bottom
M4,B,1,M,M4_B1_M,250.328,GBSN#3_D23_002,Bottom
M4,B,2,M,M4_B2_M,264.87,GBSN#3_D23_002,Bottom
M4,B,3,MN,M4_B3_M,47.156,GBSN#3_D23_002,Bottom
M5,A,1,M,M5_A1_M,138.916,GBSN#3_D23_003,Top
M5,A,2,MN,M5_A2_MN,217.671,GBSN#3_D23_003,Top
M5,A,3,MN,M5_A3_MN,60.023,GBSN#3_D23_003,Top
M5,B,1,M,M5_B1_M,76.518,GBSN#3_D23_003,Top
M5,B,2,MN,M5_B2_MN,160.482,GBSN#3_D23_003,Top
M5,B,3,MN,M5_B3_MN,24.844,GBSN#3_D23_003,Top
M6,A,1,M,M6_A1_M,121.995,GBSN#3_D23_003,Bottom
M6,A,2,MN,M6_A2_MN,214.04,GBSN#3_D23_003,Bottom
M6,A,3,MN,M6_A3_MN,62.067,GBSN#3_D23_003,Bottom
M6,B,1,M,M6_B1_M,77.762,GBSN#3_D23_003,Bottom
M6,B,2,MN,M6_B2_MN,162.874,GBSN#3_D23_003,Bottom
M6,B,3,MN,M6_B3_MN,25.077,GBSN#3_D23_003,Bottom
M7,A,1,M,M7_A1_M,92.834,GBSN#3_D23_004,Top
M7,A,2,MN,M7_A2_MN,433.861,GBSN#3_D23_004,Top
M7,A,3,MN,M7_A3_MN,0,GBSN#3_D23_004,Top
M7,B,1,M,M7_B1_M,88.402,GBSN#3_D23_004,Top
M7,B,2,MN,M7_B2_MN,28.615,GBSN#3_D23_004,Top
M7,B,3,MN,M7_B3_MN,0,GBSN#3_D23_004,Top
M8,A,1,M,M8_A1_M,82.388,GBSN#3_D23_004,Bottom
M8,A,2,MN,M8_A2_MN,40.877,GBSN#3_D23_004,Bottom
M8,A,3,MN,M8_A3_MN,0,GBSN#3_D23_004,Bottom
M8,B,1,M,M8_B1_M,122.813,GBSN#3_D23_004,Bottom
M8,B,2,MN,M8_B2_MN,371.157,GBSN#3_D23_004,Bottom
M8,B,3,MN,M8_B3_MN,54.774,GBSN#3_D23_004,Bottom
M9,A,1,M,M9_A1_M,145.327,GBSN#3_D23_005,Top
M9,A,2,MN,M9_A2_MN,137.212,GBSN#3_D23_005,Top
M9,A,3,MN,M9_A3_MN,26.189,GBSN#3_D23_005,Top
M9,B,1,M,M9_B1_M,220.324,GBSN#3_D23_005,Top
M9,B,2,MN,M9_B2_MN,243.757,GBSN#3_D23_005,Top
M9,B,3,MN,M9_B3_MN,14.04,GBSN#3_D23_005,Top
M10,A,1,M,M10_A1_M,151.377,GBSN#3_D23_005,Bottom
M10,A,2,MN,M10_A2_MN,247.077,GBSN#3_D23_005,Bottom
M10,A,3,MN,M10_A3_MN,29.288,GBSN#3_D23_005,Bottom
M10,B,1,M,M10_B1_M,128.568,GBSN#3_D23_005,Bottom
M10,B,2,MN,M10_B2_MN,179.906,GBSN#3_D23_005,Bottom
M10,B,3,MN,M10_B3_MN,1.961,GBSN#3_D23_005,Bottom
