Plate number,Side/Column,Patch/Row,Medium,Final Name,Total root length (mm),Image ,Plate position on image,Note
MH1,A,1,M,MH1_A1_M,106.915,GBSN#3_D23_016,Top,
MH1,A,2,MN,MH1_A2_MN,332.343,GBSN#3_D23_016,Top,
MH1,A,3,HN,MH1_A3_HN,74.267,GBSN#3_D23_016,Top,
MH1,B,1,M,MH1_B1_M,82.171,GBSN#3_D23_016,Top,
MH1,B,2,MN,MH1_B2_MN,171.242,GBSN#3_D23_016,Top,
MH1,B,3,MN,MH1_B3_MN,8.054,GBSN#3_D23_016,Top,
MH2,A,1,M,MH2_A1_M,127.797,GBSN#3_D23_016,Bottom,MH4 on the image
MH2,A,2,MN,MH2_A2_MN,173.889,GBSN#3_D23_016,Bottom,MH4 on the image
MH2,A,3,HN,MH2_A3_HN,1.268,GBSN#3_D23_016,Bottom,MH4 on the image
MH2,B,1,M,MH2_B1_M,88.597,GBSN#3_D23_016,Bottom,MH4 on the image
MH2,B,2,MN,MH2_B2_MN,103.483,GBSN#3_D23_016,Bottom,MH4 on the image
MH2,B,3,MN,MH2_B3_MN,31.816,GBSN#3_D23_016,Bottom,MH4 on the image
MH3,A,1,M,MH3_A1_M,111.477,GBSN#3_D23_017,Top,
MH3,A,2,MN,MH3_A2_MN,59.393,GBSN#3_D23_017,Top,
MH3,A,3,HN,MH3_A3_HN,0,GBSN#3_D23_017,Top,
MH3,B,1,M,MH3_B1_M,151.015,GBSN#3_D23_017,Top,
MH3,B,2,MN,MH3_B2_MN,146.136,GBSN#3_D23_017,Top,
MH3,B,3,MN,MH3_B3_MN,16.076,GBSN#3_D23_017,Top,
MH4,A,1,M,MH4_A1_M,72.654,GBSN#3_D23_017,Bottom,MH2 on the image
MH4,A,2,MN,MH4_A2_MN,141.253,GBSN#3_D23_017,Bottom,MH2 on the image
MH4,A,3,HN,MH4_A3_HN,15.442,GBSN#3_D23_017,Bottom,MH2 on the image
MH4,B,1,M,MH4_B1_M,158.012,GBSN#3_D23_017,Bottom,MH2 on the image
MH4,B,2,MN,MH4_B2_MN,242.211,GBSN#3_D23_017,Bottom,MH2 on the image
MH4,B,3,MN,MH4_B3_MN,50.895,GBSN#3_D23_017,Bottom,MH2 on the image
MH5,A,1,M,MH5_A1_M,179.561,GBSN#3_D23_018,Top,
MH5,A,2,MN,MH5_A2_MN,302.428,GBSN#3_D23_018,Top,
MH5,A,3,HN,MH5_A3_HN,36.456,GBSN#3_D23_018,Top,
MH5,B,1,M,MH5_B1_M,132.186,GBSN#3_D23_018,Top,
MH5,B,2,MN,MH5_B2_MN,290.066,GBSN#3_D23_018,Top,
MH5,B,3,MN,MH5_B3_MN,50.78,GBSN#3_D23_018,Top,
MH6,A,1,M,MH6_A1_M,63.301,GBSN#3_D23_018,Bottom,
MH6,A,2,MN,MH6_A2_MN,160.289,GBSN#3_D23_018,Bottom,
MH6,A,3,HN,MH6_A3_HN,0,GBSN#3_D23_018,Bottom,
MH6,B,1,M,MH6_B1_M,108.191,GBSN#3_D23_018,Bottom,
MH6,B,2,MN,MH6_B2_MN,85.405,GBSN#3_D23_018,Bottom,
MH6,B,3,MN,MH6_B3_MN,11.761,GBSN#3_D23_018,Bottom,
MH7,A,1,M,MH7_A1_M,105.338,GBSN#3_D23_019,Top,
MH7,A,2,MN,MH7_A2_MN,339.744,GBSN#3_D23_019,Top,
MH7,A,3,HN,MH7_A3_HN,32.736,GBSN#3_D23_019,Top,
MH7,B,1,M,MH7_B1_M,115.504,GBSN#3_D23_019,Top,
MH7,B,2,MN,MH7_B2_MN,256.502,GBSN#3_D23_019,Top,
MH7,B,3,MN,MH7_B3_MN,2.011,GBSN#3_D23_019,Top,
MH8,A,1,M,MH8_A1_M,114.628,GBSN#3_D23_019,Bottom,
MH8,A,2,MN,MH8_A2_MN,190.007,GBSN#3_D23_019,Bottom,
MH8,A,3,HN,MH8_A3_HN,25.633,GBSN#3_D23_019,Bottom,
MH8,B,1,M,MH8_B1_M,105.715,GBSN#3_D23_019,Bottom,
MH8,B,2,MN,MH8_B2_MN,135.3,GBSN#3_D23_019,Bottom,
MH8,B,3,MN,MH8_B3_MN,10.93,GBSN#3_D23_019,Bottom,
MH9,A,1,M,MH9_A1_M,52.093,GBSN#3_D23_020,Top,
MH9,A,2,MN,MH9_A2_MN,124.827,GBSN#3_D23_020,Top,
MH9,A,3,HN,MH9_A3_HN,8.436,GBSN#3_D23_020,Top,
MH9,B,1,M,MH9_B1_M,84.954,GBSN#3_D23_020,Top,
MH9,B,2,MN,MH9_B2_MN,151.672,GBSN#3_D23_020,Top,
MH9,B,3,MN,MH9_B3_MN,27.271,GBSN#3_D23_020,Top,
MH10,A,1,M,MH10_A1_M,45.759,GBSN#3_D23_020,Bottom,
MH10,A,2,MN,MH10_A2_MN,28.452,GBSN#3_D23_020,Bottom,
MH10,A,3,HN,MH10_A3_HN,0,GBSN#3_D23_020,Bottom,
MH10,B,1,M,MH10_B1_M,70.379,GBSN#3_D23_020,Bottom,
MH10,B,2,MN,MH10_B2_MN,97.278,GBSN#3_D23_020,Bottom,
MH10,B,3,MN,MH10_B3_MN,35.097,GBSN#3_D23_020,Bottom,
