Plate number,Side/Column,Patch/Row,Medium,Final Name,Total root length (mm),Image ,Plate position on image
ML1,A,1,M,ML1_A1_M,176.857,GBSN#3_D23_011,Top
ML1,A,2,MN,ML1_A2_MN,295.499,GBSN#3_D23_011,Top
ML1,A,3,MN,ML1_A3_MN,45.165,GBSN#3_D23_011,Top
ML1,B,1,M,ML1_B1_M,165.242,GBSN#3_D23_011,Top
ML1,B,2,LN,ML1_B2_LN,82.657,GBSN#3_D23_011,Top
ML1,B,3,LN,ML1_B3_LN,0,GBSN#3_D23_011,Top
ML2,A,1,M,ML2_A1_M,123.121,GBSN#3_D23_011,Bottom
ML2,A,2,MN,ML2_A2_MN,167.595,GBSN#3_D23_011,Bottom
ML2,A,3,MN,ML2_A3_MN,13.321,GBSN#3_D23_011,Bottom
ML2,B,1,M,ML2_B1_M,149.785,GBSN#3_D23_011,Bottom
ML2,B,2,LN,ML2_B2_LN,98.07,GBSN#3_D23_011,Bottom
ML2,B,3,LN,ML2_B3_LN,38.867,GBSN#3_D23_011,Bottom
ML3,A,1,M,ML3_A1_M,139.996,GBSN#3_D23_012,Top
ML3,A,2,MN,ML3_A2_MN,441.217,GBSN#3_D23_012,Top
ML3,A,3,MN,ML3_A3_MN,99.499,GBSN#3_D23_012,Top
ML3,B,1,M,ML3_B1_M,198.5,GBSN#3_D23_012,Top
ML3,B,2,LN,ML3_B2_LN,91.685,GBSN#3_D23_012,Top
ML3,B,3,LN,ML3_B3_LN,5.763,GBSN#3_D23_012,Top
ML4,A,1,M,ML4_A1_M,108.07,GBSN#3_D23_012,Bottom
ML4,A,2,MN,ML4_A2_MN,329.924,GBSN#3_D23_012,Bottom
ML4,A,3,MN,ML4_A3_MN,19.113,GBSN#3_D23_012,Bottom
ML4,B,1,M,ML4_B1_M,44.42,GBSN#3_D23_012,Bottom
ML4,B,2,LN,ML4_B2_LN,71.05,GBSN#3_D23_012,Bottom
ML4,B,3,LN,ML4_B3_LN,7.209,GBSN#3_D23_012,Bottom
ML5,A,1,M,ML5_A1_M,86.692,GBSN#3_D23_013,Top
ML5,A,2,MN,ML5_A2_MN,61.325,GBSN#3_D23_013,Top
ML5,A,3,MN,ML5_A3_MN,0,GBSN#3_D23_013,Top
ML5,B,1,M,ML5_B1_M,187.859,GBSN#3_D23_013,Top
ML5,B,2,LN,ML5_B2_LN,30.288,GBSN#3_D23_013,Top
ML5,B,3,LN,ML5_B3_LN,0,GBSN#3_D23_013,Top
ML6,A,1,M,ML6_A1_M,153.783,GBSN#3_D23_013,Bottom
ML6,A,2,MN,ML6_A2_MN,214.767,GBSN#3_D23_013,Bottom
ML6,A,3,MN,ML6_A3_MN,108.429,GBSN#3_D23_013,Bottom
ML6,B,1,M,ML6_B1_M,37.566,GBSN#3_D23_013,Bottom
ML6,B,2,LN,ML6_B2_LN,0,GBSN#3_D23_013,Bottom
ML6,B,3,LN,ML6_B3_LN,4.501,GBSN#3_D23_013,Bottom
ML7,A,1,M,ML7_A1_M,94.13,GBSN#3_D23_014,Top
ML7,A,2,MN,ML7_A2_MN,324.964,GBSN#3_D23_014,Top
ML7,A,3,MN,ML7_A3_MN,3.025,GBSN#3_D23_014,Top
ML7,B,1,M,ML7_B1_M,199.346,GBSN#3_D23_014,Top
ML7,B,2,LN,ML7_B2_LN,206.337,GBSN#3_D23_014,Top
ML7,B,3,LN,ML7_B3_LN,6.225,GBSN#3_D23_014,Top
ML8,A,1,M,ML8_A1_M,92.765,GBSN#3_D23_014,Bottom
ML8,A,2,MN,ML8_A2_MN,248.354,GBSN#3_D23_014,Bottom
ML8,A,3,MN,ML8_A3_MN,37.79,GBSN#3_D23_014,Bottom
ML8,B,1,M,ML8_B1_M,76.193,GBSN#3_D23_014,Bottom
ML8,B,2,LN,ML8_B2_LN,41.008,GBSN#3_D23_014,Bottom
ML8,B,3,LN,ML8_B3_LN,0,GBSN#3_D23_014,Bottom
ML9,A,1,M,ML9_A1_M,104.528,GBSN#3_D23_015,Top
ML9,A,2,MN,ML9_A2_MN,449.218,GBSN#3_D23_015,Top
ML9,A,3,MN,ML9_A3_MN,87.65,GBSN#3_D23_015,Top
ML9,B,1,M,ML9_B1_M,225.333,GBSN#3_D23_015,Top
ML9,B,2,LN,ML9_B2_LN,75.786,GBSN#3_D23_015,Top
ML9,B,3,LN,ML9_B3_LN,0,GBSN#3_D23_015,Top
ML10,A,1,M,ML10_A1_M,100.656,GBSN#3_D23_015,Bottom
ML10,A,2,MN,ML10_A2_MN,143.898,GBSN#3_D23_015,Bottom
ML10,A,3,MN,ML10_A3_MN,0,GBSN#3_D23_015,Bottom
ML10,B,1,M,ML10_B1_M,143.021,GBSN#3_D23_015,Bottom
ML10,B,2,LN,ML10_B2_LN,127.583,GBSN#3_D23_015,Bottom
ML10,B,3,LN,ML10_B3_LN,0,GBSN#3_D23_015,Bottom
