Plate number,Side/Column,Patch/Row,Medium,Final Name,Total root length (mm),Image ,Plate position on image
MLH1,A,1,M,MLH1_A1_M,83.139,GBSN#3_D23_021,Top
MLH1,A,2,MN,MLH1_A2_MN,162.776,GBSN#3_D23_021,Top
MLH1,A,3,MN,MLH1_A3_MN,0,GBSN#3_D23_021,Top
MLH1,B,1,M,MLH1_B1_M,135.012,GBSN#3_D23_021,Top
MLH1,B,2,LN,MLH1_B2_LN,108.005,GBSN#3_D23_021,Top
MLH1,B,3,HN,MLH1_B3_HN,0,GBSN#3_D23_021,Top
MLH2,A,1,M,MLH2_A1_M,239.4,GBSN#3_D23_021,Bottom
MLH2,A,2,MN,MLH2_A2_MN,405.565,GBSN#3_D23_021,Bottom
MLH2,A,3,MN,MLH2_A3_MN,43.498,GBSN#3_D23_021,Bottom
MLH2,B,1,M,MLH2_B1_M,92.095,GBSN#3_D23_021,Bottom
MLH2,B,2,LN,MLH2_B2_LN,45.991,GBSN#3_D23_021,Bottom
MLH2,B,3,HN,MLH2_B3_HN,0,GBSN#3_D23_021,Bottom
MLH3,A,1,M,MLH3_A1_M,115.736,GBSN#3_D23_022,Top
MLH3,A,2,MN,MLH3_A2_MN,65.944,GBSN#3_D23_022,Top
MLH3,A,3,MN,MLH3_A3_MN,0,GBSN#3_D23_022,Top
MLH3,B,1,M,MLH3_B1_M,118.114,GBSN#3_D23_022,Top
MLH3,B,2,LN,MLH3_B2_LN,189.704,GBSN#3_D23_022,Top
MLH3,B,3,HN,MLH3_B3_HN,0,GBSN#3_D23_022,Top
MLH4,A,1,M,MLH4_A1_M,163.52,GBSN#3_D23_022,Bottom
MLH4,A,2,MN,MLH4_A2_MN,89.146,GBSN#3_D23_022,Bottom
MLH4,A,3,MN,MLH4_A3_MN,0,GBSN#3_D23_022,Bottom
MLH4,B,1,M,MLH4_B1_M,154.595,GBSN#3_D23_022,Bottom
MLH4,B,2,LN,MLH4_B2_LN,71.159,GBSN#3_D23_022,Bottom
MLH4,B,3,HN,MLH4_B3_HN,0,GBSN#3_D23_022,Bottom
MLH5,A,1,M,MLH5_A1_M,180.459,GBSN#3_D23_023,Top
MLH5,A,2,MN,MLH5_A2_MN,409.898,GBSN#3_D23_023,Top
MLH5,A,3,MN,MLH5_A3_MN,31.328,GBSN#3_D23_023,Top
MLH5,B,1,M,MLH5_B1_M,115.553,GBSN#3_D23_023,Top
MLH5,B,2,LN,MLH5_B2_LN,53.617,GBSN#3_D23_023,Top
MLH5,B,3,HN,MLH5_B3_HN,0,GBSN#3_D23_023,Top
MLH6,A,1,M,MLH6_A1_M,140.475,GBSN#3_D23_023,Bottom
MLH6,A,2,MN,MLH6_A2_MN,294.407,GBSN#3_D23_023,Bottom
MLH6,A,3,MN,MLH6_A3_MN,9.96,GBSN#3_D23_023,Bottom
MLH6,B,1,M,MLH6_B1_M,122.752,GBSN#3_D23_023,Bottom
MLH6,B,2,LN,MLH6_B2_LN,72.516,GBSN#3_D23_023,Bottom
MLH6,B,3,HN,MLH6_B3_HN,0,GBSN#3_D23_023,Bottom
MLH7,A,1,M,MLH7_A1_M,84.527,GBSN#3_D23_024,Top
MLH7,A,2,MN,MLH7_A2_MN,176.668,GBSN#3_D23_024,Top
MLH7,A,3,MN,MLH7_A3_MN,0,GBSN#3_D23_024,Top
MLH7,B,1,M,MLH7_B1_M,150.587,GBSN#3_D23_024,Top
MLH7,B,2,LN,MLH7_B2_LN,57.516,GBSN#3_D23_024,Top
MLH7,B,3,HN,MLH7_B3_HN,33.302,GBSN#3_D23_024,Top
MLH8,A,1,M,MLH8_A1_M,164.352,GBSN#3_D23_024,Bottom
MLH8,A,2,MN,MLH8_A2_MN,218.21,GBSN#3_D23_024,Bottom
MLH8,A,3,MN,MLH8_A3_MN,7.963,GBSN#3_D23_024,Bottom
MLH8,B,1,M,MLH8_B1_M,41.117,GBSN#3_D23_024,Bottom
MLH8,B,2,LN,MLH8_B2_LN,4.878,GBSN#3_D23_024,Bottom
MLH8,B,3,HN,MLH8_B3_HN,107.078,GBSN#3_D23_024,Bottom
MLH9,A,1,M,MLH9_A1_M,52.207,GBSN#3_D23_025,Top
MLH9,A,2,MN,MLH9_A2_MN,70.903,GBSN#3_D23_025,Top
MLH9,A,3,MN,MLH9_A3_MN,5.917,GBSN#3_D23_025,Top
MLH9,B,1,M,MLH9_B1_M,166.244,GBSN#3_D23_025,Top
MLH9,B,2,LN,MLH9_B2_LN,81.444,GBSN#3_D23_025,Top
MLH9,B,3,HN,MLH9_B3_HN,0,GBSN#3_D23_025,Top
MLH10,A,1,M,MLH10_A1_M,148.479,GBSN#3_D23_025,Bottom
MLH10,A,2,MN,MLH10_A2_MN,186.703,GBSN#3_D23_025,Bottom
MLH10,A,3,MN,MLH10_A3_MN,0,GBSN#3_D23_025,Bottom
MLH10,B,1,M,MLH10_B1_M,172.648,GBSN#3_D23_025,Bottom
MLH10,B,2,LN,MLH10_B2_LN,58.707,GBSN#3_D23_025,Bottom
MLH10,B,3,HN,MLH10_B3_HN,0,GBSN#3_D23_025,Bottom
